region,year,mean_demand_gw,demand_growth_yoy,mw_operational,active_gw_excl_hybrid,clearance_rate_pct,ferc_jurisdictional,likely_reform_driven
PJM,2020,87.64426231386025,-0.04058583774567435,3029.3,144.72,2.0932144831398563,True,False
PJM,2021,90.90051170492178,0.03715302411241334,4886.2,246.4,1.9830357142857142,True,False
PJM,2022,92.48337243905232,0.017413111372450402,3070.8,282.03,1.088820338261887,True,False
PJM,2023,89.63171436748712,-0.030834278599047357,4973.9,254.72,1.9526931532663314,True,False
PJM,2024,92.81218169367723,0.03548372748010039,4788.3,187.46,2.5543049183825883,True,True
PJM,2025,96.24161826484018,0.036950285065829674,2630.5,130.61,2.0140111783171273,True,True
ERCOT,2020,43.37013433515483,-0.009743826313312023,2278.5,100.51,2.266938613073326,False,False
ERCOT,2021,44.81316234729992,0.03327238972777188,9248.9,133.8,6.912481315396113,False,False
ERCOT,2022,49.159162214611875,0.09698043252628895,6971.0,184.34,3.781599218834762,False,False
ERCOT,2023,51.00387420091324,0.037525293418304996,9622.0,229.4,4.194420226678291,False,False
ERCOT,2024,52.79628449453552,0.03514263027474467,14239.6,311.28,4.574530968902596,False,False
ERCOT,2025,55.711806392694065,0.055222103715656445,9222.9,363.63,2.536341885983005,False,False
MISO,2020,71.05454496812386,-0.041708812622026664,6249.6,90.49,6.9063984970715,True,False
MISO,2021,73.32171112126056,0.03190740513719121,3917.5,155.25,2.5233494363929148,True,False
MISO,2022,74.56222404933197,0.016918766748635086,3454.8,296.61,1.164761808435319,True,False
MISO,2023,73.16979337899544,-0.018674747006141815,1888.9,276.45,0.6832700307469706,True,True
MISO,2024,73.59093219178082,0.005755637583996256,2136.4,397.05,0.5380682533685934,True,False
SPP,2020,29.83353324225865,-0.030276393709028113,4291.7,92.73,4.628167798986304,True,False
SPP,2021,30.54439433725311,0.023827586535661763,3272.9,102.34,3.198065272620676,True,False
SPP,2022,32.24973664383562,0.055831596716344384,3177.2,104.1,3.052065321805956,True,True
SPP,2023,32.029034478821785,-0.0068435338697880235,1334.6,133.18,1.0021024177804476,True,True
SPP,2024,33.0203450165544,0.03095037218146834,1537.5,128.73,1.1943602889769287,True,True
SPP,2025,34.22600605022831,0.036512672204650196,1413.7,151.15,0.9352960635130665,True,True
