model,term,coef,std_err,t,p,ci_low,ci_high,n,r2,adj_r2
M1  pooled,Intercept,1.7733657393096123,0.6276424660594675,2.8254393786375673,0.010807134779163959,0.45969496027899637,3.087036518340228,22,0.16583303886259892,0.07802599032181978
M1  pooled,growth,-0.13712951044024024,0.13504738005257003,-1.0154177769821207,0.3226636159527631,-0.4197869253750901,0.14552790449460962,22,0.16583303886259892,0.07802599032181978
M1  pooled,growth2,0.09621035288219212,0.05002272541761027,1.9233328867827284,0.06955454817206311,-0.00848841468392808,0.20090912044831233,22,0.16583303886259892,0.07802599032181978
M2  + region,Intercept,1.0913195592880265,0.8428334836632297,1.2948222637581923,0.21375576501091478,-0.695407609090765,2.878046727666818,22,0.39035679932791245,0.19984329911788512
M2  + region,C(region)[T.ERCOT],2.3882947270939887,1.0184615666935515,2.345002310541396,0.03225296613863033,0.22925265480714785,4.54733679938083,22,0.39035679932791245,0.19984329911788512
M2  + region,C(region)[T.MISO],0.6199171901758583,1.0081262468710703,0.6149201968502461,0.5472540232536387,-1.5172149828501587,2.757049363201875,22,0.39035679932791245,0.19984329911788512
M2  + region,C(region)[T.SPP],0.5753876174354727,0.9458161409383067,0.6083503891830959,0.5514942876960877,-1.4296530318286407,2.580428266699586,22,0.39035679932791245,0.19984329911788512
M2  + region,growth,-0.21297898123178213,0.13191142186909036,-1.6145605756804264,0.12595113883058007,-0.49261870347987724,0.066660741016313,22,0.39035679932791245,0.19984329911788512
M2  + region,growth2,0.09154286918562507,0.04754065432591615,1.9255702405366706,0.07212002784426746,-0.009238815848330431,0.19232455421958056,22,0.39035679932791245,0.19984329911788512
M0  region only,Intercept,1.9476799642755853,0.7129235777270413,2.7319617770045164,0.013688740725467058,0.44988310682134935,3.4454768217298213,22,0.20816135793482993,0.07618825092396819
M0  region only,C(region)[T.ERCOT],2.1492626377310824,1.0574365517108222,2.0325216054370348,0.05712340129720199,-0.07232911991466606,4.370854395376831,22,0.20816135793482993,0.07618825092396819
M0  region only,C(region)[T.MISO],0.4154896409274747,1.0574365517108222,0.39292158026432483,0.6989918915537665,-1.8061021167182738,2.637081398573223,22,0.20816135793482993,0.07618825092396819
M0  region only,C(region)[T.SPP],0.3873295630049792,1.008226192557131,0.3841693122677243,0.7053535679952202,-1.7308750664866022,2.505534192496561,22,0.20816135793482993,0.07618825092396819
L22 excl ERCOT 2022,Intercept,2.0671880766558046,0.7250979576332583,2.8509087012231684,0.011053006785069501,0.5373651101860346,3.5970110431255744,22,0.24907881743387306,0.07239148035949017
L22 excl ERCOT 2022,C(region)[T.ERCOT],2.4204505955674054,1.0964304739564832,2.207573259828486,0.04130432154167775,0.10718450160285187,4.733716689531959,22,0.24907881743387306,0.07239148035949017
L22 excl ERCOT 2022,C(region)[T.MISO],0.2810116297064256,1.0687798217464823,0.2629275216360535,0.795766469579752,-1.973916687488217,2.535939946901068,22,0.24907881743387306,0.07239148035949017
L22 excl ERCOT 2022,C(region)[T.SPP],0.5043482542045563,1.0175855372411897,0.4956322940397834,0.626499894527517,-1.6425695640447895,2.651266072453902,22,0.24907881743387306,0.07239148035949017
L22 excl ERCOT 2022,growth,-0.12901192254285887,0.13404426372698222,-0.9624576162813421,0.349311224243177,-0.41182059827324324,0.1537967531875255,22,0.24907881743387306,0.07239148035949017
L23 full set,Intercept,2.053661540574117,0.7041918577398604,2.916338094515106,0.009214251426374555,0.5742093460901625,3.5331137350580715,23,0.25954844280866707,0.09500365232170416
L23 full set,C(region)[T.ERCOT],2.4643781136917307,1.054639773856567,2.336701283965506,0.031214569394775026,0.248662168281645,4.680094059101816,23,0.25954844280866707,0.09500365232170416
L23 full set,C(region)[T.MISO],0.2962325350888767,1.0391043734294707,0.28508448493117955,0.7788336889056399,-1.8868447451599528,2.479309815337706,23,0.25954844280866707,0.09500365232170416
L23 full set,C(region)[T.SPP],0.4911034834754625,0.98958103492262,0.4962741464764068,0.6257066959738881,-1.5879291233980064,2.5701360903489316,23,0.25954844280866707,0.09500365232170416
L23 full set,growth,-0.11440969688229823,0.11828906396822982,-0.967204347081709,0.34625871604742187,-0.3629257984926343,0.13410640472803786,23,0.25954844280866707,0.09500365232170416
