region,year,n_operational,mw_operational,n_withdrawn,mw_withdrawn,active_gw_total,active_gw_excl_hybrid,hybrid_in_active_total,pct_mw_dated_operational,pct_mw_dated_withdrawn,operational_series_usable,withdrawn_series_usable,year_complete,demand_years_available,n_withdrawn_vs_median,mw_withdrawn_vs_median,likely_reform_driven
PJM,2000,11,430.8,12,6121.0,,,,99.1,96.2,True,True,True,False,0.08,0.32,False
PJM,2001,20,1083.5,14,6091.9,,,,99.1,96.2,True,True,True,False,0.09,0.31,False
PJM,2002,27,5772.4,71,30652.8,,,,99.1,96.2,True,True,True,False,0.47,1.58,False
PJM,2003,21,3870.9,32,9423.1,,,,99.1,96.2,True,True,True,False,0.21,0.49,False
PJM,2004,27,3051.0,30,7329.3,,,,99.1,96.2,True,True,True,False,0.2,0.38,False
PJM,2005,20,3080.1,43,7962.0,,,,99.1,96.2,True,True,True,False,0.28,0.41,False
PJM,2006,31,2480.4,43,8408.4,,,,99.1,96.2,True,True,True,False,0.28,0.43,False
PJM,2007,44,1582.9,33,13829.0,,,,99.1,96.2,True,True,True,False,0.22,0.71,False
PJM,2008,58,2826.8,80,24258.8,,,,99.1,96.2,True,True,True,False,0.52,1.25,False
PJM,2009,32,1502.4,107,30255.5,,,,99.1,96.2,True,True,True,False,0.7,1.56,False
PJM,2010,47,2244.3,135,17223.0,,,,99.1,96.2,True,True,True,False,0.89,0.89,False
PJM,2011,67,3773.6,248,11502.8,,,,99.1,96.2,True,True,True,False,1.63,0.59,False
PJM,2012,59,3192.8,272,32897.9,,,,99.1,96.2,True,True,True,False,1.78,1.69,False
PJM,2013,44,742.7,178,24843.8,,,,99.1,96.2,True,True,True,False,1.17,1.28,False
PJM,2014,38,3068.3,152,15518.0,61.89,61.89,False,99.1,96.2,True,True,True,False,1.0,0.8,False
PJM,2015,72,4385.7,142,13122.0,80.66,80.66,False,99.1,96.2,True,True,True,False,0.93,0.68,False
PJM,2016,75,7243.4,212,23385.3,71.61,71.61,False,99.1,96.2,True,True,True,False,1.39,1.2,False
PJM,2017,63,5567.8,220,15040.5,65.78,65.78,False,99.1,96.2,True,True,True,False,1.44,0.77,False
PJM,2018,59,12464.7,264,29781.0,88.39,88.39,False,99.1,96.2,True,True,True,False,1.73,1.53,False
PJM,2019,49,4353.8,292,33470.3,108.21,108.21,False,99.1,96.2,True,True,True,True,1.91,1.72,False
PJM,2020,78,3029.3,288,25127.2,152.77,144.72,True,99.1,96.2,True,True,True,True,1.89,1.29,False
PJM,2021,40,4886.2,272,18511.2,259.22,246.4,True,99.1,96.2,True,True,True,True,1.78,0.95,False
PJM,2022,32,3070.8,153,20329.0,297.69,282.03,True,99.1,96.2,True,True,True,True,1.0,1.05,False
PJM,2023,62,4973.9,300,24632.9,286.7,254.72,True,99.1,96.2,True,True,True,True,1.97,1.27,False
PJM,2024,60,4788.3,821,67652.8,211.46,187.46,True,99.1,96.2,True,True,True,True,5.38,3.48,True
PJM,2025,47,2630.5,655,78516.8,144.28,130.61,True,99.1,96.2,True,True,True,True,4.3,4.04,True
PJM,2026,0,0.0,11,796.2,,,,99.1,96.2,False,True,False,True,0.07,0.04,False
ERCOT,2000,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2001,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2002,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2003,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2004,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2005,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2006,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2007,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2008,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2009,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2010,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2011,0,0.0,0,0.0,,,,82.1,39.8,False,False,True,False,0.0,0.0,False
ERCOT,2012,6,585.0,0,0.0,,,,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2013,7,1783.0,0,0.0,,,,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2014,16,4123.0,0,0.0,61.46,61.46,False,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2015,21,4570.0,0,0.0,61.14,61.14,False,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2016,18,3250.9,0,0.0,59.9,59.9,False,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2017,26,5943.9,0,0.0,68.32,68.32,False,82.1,39.8,True,False,True,False,0.0,0.0,False
ERCOT,2018,16,2949.3,22,7745.7,69.26,69.26,False,82.1,39.8,True,True,True,False,0.3,0.57,False
ERCOT,2019,21,3413.2,73,15634.6,87.96,87.96,False,82.1,39.8,True,True,True,True,1.01,1.16,False
