region,year,n_at_risk,n_withdrawn,rate_pct,mw_at_risk,mw_withdrawn,mw_rate_pct
PJM,2005,231,43,18.61,35623.0,7962.0,22.35
PJM,2006,325,43,13.23,54490.6,8408.4,15.43
PJM,2007,467,33,7.07,87885.3,13829.0,15.74
PJM,2008,605,80,13.22,114147.2,24258.8,21.25
PJM,2009,640,107,16.72,103850.6,30255.5,29.13
PJM,2010,941,135,14.35,96003.2,17223.0,17.94
PJM,2011,1107,248,22.4,104830.7,11502.8,10.97
PJM,2012,945,272,28.78,112591.4,32897.9,29.22
PJM,2013,753,178,23.64,90492.8,24843.8,27.45
PJM,2014,710,152,21.41,84318.7,15518.0,18.4
PJM,2015,821,142,17.3,101389.9,13122.0,12.94
PJM,2016,995,212,21.31,119737.0,23385.3,19.53
PJM,2017,1054,220,20.87,114919.1,15040.5,13.09
PJM,2018,1197,264,22.06,152208.4,29781.0,19.57
PJM,2019,1539,292,18.97,169950.0,33470.3,19.69
PJM,2020,2114,288,13.62,196170.0,25127.2,12.81
PJM,2021,2616,272,10.4,235071.6,18511.2,7.87
PJM,2022,2785,153,5.49,268860.6,20329.0,7.56
PJM,2023,2766,300,10.85,260784.1,24632.9,9.45
PJM,2024,2406,821,34.12,231272.3,67652.8,29.25
PJM,2025,1913,607,31.73,204422.1,60621.5,29.66
MISO,2005,207,33,15.94,29945.7,7268.1,24.27
MISO,2006,257,28,10.89,40905.9,6522.3,15.94
MISO,2007,378,27,7.14,76661.9,4184.0,5.46
MISO,2008,458,55,12.01,91707.2,18014.0,19.64
MISO,2009,485,63,12.99,84553.6,15400.0,18.21
MISO,2010,481,73,15.18,78419.8,14219.1,18.13
MISO,2011,446,124,27.8,74408.4,23601.4,31.72
MISO,2012,328,140,42.68,56367.5,28160.5,49.96
MISO,2013,237,59,24.89,39633.3,9431.4,23.8
MISO,2014,278,61,21.94,56593.3,11913.4,21.05
MISO,2015,309,62,20.06,70666.5,12764.6,18.06
MISO,2016,454,50,11.01,86216.0,15004.0,17.4
MISO,2017,570,167,29.3,95467.0,29086.2,30.47
MISO,2018,627,69,11.0,103641.7,13029.3,12.57
MISO,2019,838,172,20.53,131627.3,27741.3,21.08
MISO,2020,909,187,20.57,138634.0,29306.8,21.14
MISO,2021,1077,179,16.62,161859.0,23565.5,14.56
MISO,2022,1876,46,2.45,310740.4,7521.4,2.42
MISO,2023,1842,268,14.55,304306.6,41891.6,13.77
MISO,2024,2257,87,3.85,401562.1,12544.7,3.12
MISO,2025,2611,938,35.92,530022.0,171736.9,32.4
SPP,2005,44,3,6.82,7515.3,658.0,8.76
SPP,2006,52,4,7.69,10751.4,620.0,5.77
SPP,2007,63,0,0.0,13236.4,0.0,0.0
SPP,2008,84,0,0.0,16375.7,0.0,0.0
SPP,2009,82,2,2.44,15225.7,237.0,1.56
SPP,2010,108,4,3.7,20482.3,857.0,4.18
SPP,2011,153,31,20.26,28334.1,5447.2,19.22
SPP,2012,156,25,16.03,27516.1,5520.7,20.06
SPP,2013,146,26,17.81,23646.4,4232.4,17.9
SPP,2014,184,47,25.54,29466.8,7718.4,26.19
SPP,2015,227,51,22.47,36778.5,8516.9,23.16
SPP,2016,325,46,14.15,56478.5,9120.6,16.15
SPP,2017,496,49,9.88,88856.7,8042.7,9.05
SPP,2018,573,52,9.08,102525.5,11878.3,11.59
SPP,2019,584,46,7.88,97314.7,6247.6,6.42
SPP,2020,628,71,11.31,108502.9,11281.3,10.4
SPP,2021,634,38,5.99,114393.7,6746.9,5.9
SPP,2022,677,134,19.79,125880.2,23549.9,18.71
SPP,2023,923,257,27.84,182233.9,50688.3,27.81
SPP,2024,737,137,18.59,147593.0,27614.5,18.71
SPP,2025,902,280,31.04,207173.0,65049.4,31.4
ERCOT,2005,2,0,,1127.0,0.0,
ERCOT,2006,5,0,,1646.0,0.0,
ERCOT,2007,13,0,,4787.0,0.0,
ERCOT,2008,15,0,,5393.0,0.0,
ERCOT,2009,31,0,,9040.6,0.0,
ERCOT,2010,41,0,,10840.4,0.0,
ERCOT,2011,57,0,,13505.1,0.0,
ERCOT,2012,84,0,,20416.9,0.0,
ERCOT,2013,118,0,,28484.1,0.0,
ERCOT,2014,144,0,,35609.3,0.0,
ERCOT,2015,165,0,,39303.5,0.0,
ERCOT,2016,193,0,,44044.9,0.0,
ERCOT,2017,295,0,,61201.0,0.0,
ERCOT,2018,434,22,5.07,87599.3,7745.7,8.84
ERCOT,2019,632,73,11.55,117857.2,15634.6,13.27
ERCOT,2020,759,83,10.94,142792.6,15330.6,10.74
ERCOT,2021,970,59,6.08,180905.4,8983.8,4.97
ERCOT,2022,1222,48,3.93,233727.6,9093.5,3.89
ERCOT,2023,1563,63,4.03,303386.0,10588.1,3.49
ERCOT,2024,1906,81,4.25,393433.1,15347.5,3.9
ERCOT,2025,2104,91,4.33,468839.7,15597.8,3.33
